layer,state,run
26,6,11
26,7,11
26,8,11
26,9,11
26,10,11
26,11,11
26,12,11
26,13,11
26,14,11
26,15,11
26,16,11
26,17,11
26,18,11
26,19,11
26,20,11
26,21,11
26,22,11
26,23,11
26,24,11
26,25,11
26,26,11
26,27,11
26,28,11
26,29,11
26,30,11
26,31,11
26,32,11
26,33,11
26,34,11
26,35,11
27,6,11
27,7,11
27,8,11
27,9,11
27,10,11
27,11,11
27,12,11
27,13,11
27,14,11
27,15,11
27,16,11
27,17,11
27,18,11
27,19,11
27,20,11
27,21,11
27,22,11
27,23,11
27,24,11
27,25,11
27,26,11
27,27,11
27,28,11
27,29,11
27,30,11
27,31,11
27,32,11
27,33,11
27,34,11
27,35,11
