layer,state,run
1,1,1
2,1,1
3,1,1
5,1,1
7,1,1
10,1,1
14,1,1
21,1,1
30,1,1
1,1,2
2,1,2
3,1,2
5,1,2
7,1,2
10,1,2
14,1,2
21,1,2
30,1,2
1,2,1
2,2,1
3,2,1
5,2,1
7,2,1
10,2,1
14,2,1
21,2,1
30,2,1
1,2,2
2,2,2
3,2,2
5,2,2
7,2,2
10,2,2
14,2,2
21,2,2
30,2,2
1,3,1
2,3,1
3,3,1
5,3,1
7,3,1
10,3,1
14,3,1
21,3,1
30,3,1
1,3,2
2,3,2
3,3,2
5,3,2
7,3,2
10,3,2
14,3,2
21,3,2
30,3,2
1,5,1
2,5,1
3,5,1
5,5,1
7,5,1
10,5,1
14,5,1
21,5,1
30,5,1
1,5,2
2,5,2
3,5,2
5,5,2
7,5,2
10,5,2
14,5,2
21,5,2
30,5,2
1,7,1
2,7,1
3,7,1
5,7,1
7,7,1
10,7,1
14,7,1
21,7,1
30,7,1
1,7,2
2,7,2
3,7,2
5,7,2
7,7,2
10,7,2
14,7,2
21,7,2
30,7,2
1,10,1
2,10,1
3,10,1
5,10,1
7,10,1
10,10,1
14,10,1
21,10,1
30,10,1
1,10,2
2,10,2
3,10,2
5,10,2
7,10,2
10,10,2
14,10,2
21,10,2
30,10,2
1,14,1
2,14,1
3,14,1
5,14,1
7,14,1
10,14,1
14,14,1
21,14,1
30,14,1
1,14,2
2,14,2
3,14,2
5,14,2
7,14,2
10,14,2
14,14,2
21,14,2
30,14,2
1,21,1
2,21,1
3,21,1
5,21,1
7,21,1
10,21,1
14,21,1
21,21,1
30,21,1
1,21,2
2,21,2
3,21,2
5,21,2
7,21,2
10,21,2
14,21,2
21,21,2
30,21,2
1,30,1
2,30,1
3,30,1
5,30,1
7,30,1
10,30,1
14,30,1
21,30,1
30,30,1
1,30,2
2,30,2
3,30,2
5,30,2
7,30,2
10,30,2
14,30,2
21,30,2
30,30,2
